,Address,Bathrooms,Bedrooms,Home Size,Lat,Lon,Property Size,Year Built,Zestimate,Zipcode,count_zillow,latitude,longitude,review_count,stars,count_yelp,avg_review,avg_stars,lat,lon,count_school,enrollment,private_school,public_school,charter_school,total_school
0,311 E VOLTAIRE AVE,2.0,4.0,2258.0,33.61,-112.07,10950.0,1970.0,397249.0,85022,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1637 E PALM LN,1.0,0.0,884.0,33.47,-112.05,6334.0,1948.0,226588.0,85006,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10626 W ROMA AVE,2.0,0.0,1578.0,33.5,-112.29,7288.0,1984.0,202070.0,85037,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7145 N 14TH ST,2.33,0.0,1956.0,33.54,-112.05,8860.0,1966.0,405274.0,85020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,52 E BEAUTIFUL LN,1.0,0.0,864.0,33.38,-112.07,6991.0,1956.0,149870.0,85042,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3701 E PARADISE DR,2.0,5.0,2150.0,33.6,-112.0,7026.0,1962.0,385799.0,85028,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1130 E BUTLER DR,2.0,2.0,956.0,33.56,-112.06,75286.0,1972.0,230675.0,85020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5813 S 42ND PL,2.0,2.0,1097.0,33.39,-111.99,3036.0,1986.0,168819.0,85040,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3123 N 52ND ST,4.0,4.0,3901.0,33.48,-111.97,39942.0,1950.0,1208707.0,85018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3435 E CHOLLA ST,2.0,4.0,2430.0,33.59,-112.01,21725.0,1972.0,432621.0,85028,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.59,-112.01,2.0,949.0,0.0,1.0,1.0,2.0
10,1720 E MONTE VISTA RD,2.0,2.0,800.0,33.47,-112.05,625.0,1986.0,219106.0,85006,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4312 N 27TH AVE,1.0,0.0,1398.0,33.5,-112.12,8377.0,1954.0,162928.0,85017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,-112.12,2.0,1305.0,0.0,2.0,0.0,2.0
12,7625 W WHITTON AVE,1.0,0.0,1072.0,33.49,-112.22,6582.0,1961.0,142631.0,85033,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6145 N 18TH DR,2.0,4.0,1749.0,33.53,-112.1,7849.0,1951.0,304947.0,85015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.53,-112.1,1.0,899.0,0.0,1.0,0.0,1.0
14,6616 W SADDLEHORN RD,2.0,4.0,1854.0,33.72,-112.2,5514.0,2000.0,286153.0,85083,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,3908 W JOAN DE ARC AVE,2.0,0.0,2063.0,33.61,-112.14,9254.0,1981.0,247972.0,85029,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.61,-112.14,1.0,500.0,0.0,1.0,0.0,1.0
16,4623 S 23RD LN,3.67,0.0,2348.0,33.4,-112.11,5974.0,2007.0,235841.0,85041,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,40413 N COPPER BASIN TR,4.0,0.0,3363.0,33.85,-112.11,11875.0,2002.0,470792.0,85086,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4538 N 40TH ST,0.0,0.0,1664.0,33.5,-112.0,10275.0,1970.0,0.0,85018,1,33.504,-111.996,36.0,14.0,3.0,12.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4436 E ARAPAHOE ST,2.0,0.0,1482.0,33.33,-111.99,7684.0,1975.0,273562.0,85044,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3136 W KIMBERLY WY,2.33,0.0,1837.0,33.66,-112.13,8997.0,1980.0,264880.0,85027,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1920 E MARYLAND AVE,3.0,2.0,1455.0,33.53,-112.04,1251.0,1984.0,324322.0,85016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.53,-112.04,2.0,51.0,2.0,0.0,0.0,2.0
