name,type,gradeRange,enrollment,city,state,address,lat,lon,parentRating
Venture Academy,charter,K-7,94,Phoenix,AZ,"1535 West Dunlap Ave, 
Phoenix, AZ  85020",33.5672,-112.0925,5
Mountain View Elementary School,public,PK-8,1505,Phoenix,AZ,"801 West Peoria Ave, 
Phoenix, AZ  85029",33.581,-112.0832,5
Sunnyslope High School,public,9-12,2040,Phoenix,AZ,"35 West Dunlap, 
Phoenix, AZ  85021",33.56767,-112.07574,3
West-Mec - Sunnyslope High School,public,9-12,1,Phoenix,AZ,"35 West Dunlap, 
Phoenix, AZ  85021",33.5669,-112.0758
Richard E Miller School,public,K-5,569,Phoenix,AZ,"2021 West Alice, 
Phoenix, AZ  85021",33.563805,-112.10171
Sunnyslope Elementary School,public,K-8,832,Phoenix,AZ,"240 East Vogel Ave, 
Phoenix, AZ  85020",33.5744,-112.0707,3
Royal Palm Middle School,charter,5-8,725,Phoenix,AZ,"8520 North 19th Ave, 
Phoenix, AZ  85021",33.5612,-112.1007
Desert View Elementary School,public,PK-5,454,Phoenix,AZ,"8621 North 3rd St, 
Phoenix, AZ  85020",33.5632,-112.0687,3
Pillar Academy Online,charter,9-12,78,Phoenix,AZ,"2400 West Dunlap Ave, 
Phoenix, AZ  85021",33.5676,-112.1104
Most Holy Trinity Catholic Elementary School,private,PK-8,174,Phoenix,AZ,"535 East Alice Avenue, 
Phoenix, AZ  85020",33.56412,-112.06681
Westwind Middle School,charter,6-8,27,Phoenix,AZ,"2045 West Northern Ave, 
Phoenix, AZ  85021",33.5526,-112.1024
Asdb/Phoenix Day School,public,PK-12,278,Phoenix,AZ,"1935 West Hayward Ave, 
Phoenix, AZ  85021",33.55,-112.1013
Desert Valleys Region,public,K-12,195,Phoenix,AZ,"8055 North 24th Ave, 
Phoenix, AZ  85021",33.5552,-112.1097
E-Institute At Metro,charter,9-12,177,Phoenix,AZ,"9201 North 29th Ave, 
Phoenix, AZ  85051",33.5698,-112.1192
Orangewood Elementary School,charter,K-8,1016,Phoenix,AZ,"7337 North 19th Ave, 
Phoenix, AZ  85021",33.5449,-112.0969,4
Metrocenter Academy,public,10-12,175,Phoenix,AZ,"9617 Metro Parkway West, 
Phoenix, AZ  85051",33.574,-112.1219
IntelliSchool - Metro Center,charter,9-12,153,Phoenix,AZ,"3327 West Peoria Avenue, 
Phoenix, AZ  85029",33.582043,-112.120316
Shaw Butte School,public,PK-6,1011,Phoenix,AZ,"12202 North 21st Ave, 
Phoenix, AZ  85029",33.5976,-112.1045
Washington Elementary School,public,PK-6,957,Phoenix,AZ,"8033 North 27th Ave, 
Phoenix, AZ  85051",33.5542,-112.1161,4
Montessori Day Public Schools Chartered - Mountain,charter,K-8,185,Phoenix,AZ,"9215 North 14th St, 
Phoenix, AZ  85020",33.5703,-112.0512,5
Edupreneurship Student Center (ESC) Phoenix,charter,K-8,74,Phoenix,AZ,"7801 North 27th Ave, 
Phoenix, AZ  85051",33.5517,-112.1165
Arizona Preparatory Academy Online,charter,9-12,106,Phoenix,AZ,"10443 North Cave Creek Rd, 
Phoenix, AZ  85020",33.5819,-112.0515
Cortez High School,public,9-12,1156,Phoenix,AZ,"8828 N. 31st Avenue, 
Phoenix, AZ  85051",33.566826,-112.12634,4
The Foundation For Blind Children,private,PK-2,89,Phoenix,AZ,"1235 East Harmont Drive, 
Phoenix, AZ  85020",33.55496,-112.055
Alta Vista Elementary School,public,K-6,647,Phoenix,AZ,"8710 North 31st Ave, 
Phoenix, AZ  85051",33.5644,-112.1262,4
Torah Day School of Phoenix,private,PK-9,277,Phoenix,AZ,"1118 W Glendale Ave, 
Phoenix, AZ  85021",33.53925,-112.08842
Valley Classical Christian Academy,private,K-8,41,Phoenix,AZ,"7000 North Central Avenue, 
Phoenix, AZ  85020",33.53886,-112.07521
Lakeview Elementary School,public,K-6,576,Phoenix,AZ,"3040 West Yucca St, 
Phoenix, AZ  85029",33.5897,-112.1245,5
Holy Cross Lutheran School,private,K-8,11,Phoenix,AZ,"1420 West Thunderbird Road, 
Phoenix, AZ  85023",33.608658,-112.08926
Moon Mountain School,public,PK-6,779,Phoenix,AZ,"13425 North 19th Ave, 
Phoenix, AZ  85029",33.6078,-112.0976
Madison Richard Simis School,public,PK-4,951,Phoenix,AZ,"7302 North 10th St, 
Phoenix, AZ  85020",33.5431,-112.0615
Cholla Middle School,public,6-8,658,Phoenix,AZ,"3120 West Cholla, 
Phoenix, AZ  85029",33.5906,-112.1261,4
Cornerstone Charter School,charter,9-12,226,Phoenix,AZ,"7107 North Black Canyon Hwy, 
Phoenix, AZ  85021",33.5411,-112.1118,5
